id,text,user_name,user_location,sentiment,created,housemate
92,RT @AuntiePegg: Just love these two so much @planetjedward #CBB #CBBJedward https://t.co/HlbaAFd33q,PlanetCecilia,"Sweden, Gothenburg^^",NA,2017-01-20T05:23:09,No name
93,"RT @ModernEra94: Day 15, RT and Fav if you're TEAM JEDWARD! #CBB #CBBJedward https://t.co/rVME7ZdlBL",PlanetCecilia,"Sweden, Gothenburg^^",NA,2017-01-20T05:23:31,No name
94,RT @bbuk: We remember when @Louis_Tomlinson used to tweet about usâ€_ We still miss him. _Ÿ˜¢ #CBB,greenbaydirtbag,"Green Bay, WI - Titletown, USA",NA,2017-01-20T05:24:08,No name
95,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,NahuelPizarro3,"Buenos Aires , Argentina",NA,2017-01-20T05:24:09,No name
96,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,haileeberry1,,NA,2017-01-20T05:24:25,No name
97,"RT @bbuk: Not enjoying your tea, @planetjedward? #CBB https://t.co/J25SiLhSrf",PlanetCecilia,"Sweden, Gothenburg^^",NA,2017-01-20T05:25:13,No name
98,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,dbboycr3w,,NA,2017-01-20T05:25:18,No name
99,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,MisaLad,,NA,2017-01-20T05:25:30,No name
100,RT @TheSun: Fears for Kim Woodburn after epic meltdown in the #CBB house https://t.co/aNDE6fkBvF https://t.co/pQm8vpgtp4,libertad717,,NA,2017-01-20T05:25:48,No name
101,HAHAHAAHAHAHAHAH A ROUPA DA CHLOE SOLTANDO E OS PEITO PRA FORA #CBB,mvtuita,bsb ,NA,2017-01-20T05:25:54,No name
102,"RT @MommaJedward: ""A day without laughter is a day wasted.""  - Charlie Chaplin https://t.co/sDcp20ijbb",PlanetCecilia,"Sweden, Gothenburg^^",NA,2017-01-20T05:26:17,No name
103,RT @bbuk: _Ÿ™ˆ_Ÿ™ˆ_Ÿ™ˆ #CBB https://t.co/PRCAzc9I90,PlanetCecilia,"Sweden, Gothenburg^^",NA,2017-01-20T05:26:23,No name
104,RT @bbuk: Wondering what that would've looked like with the roles reversed? We found out earlier today! #CBB https://t.co/W7a4Iv2ysG,PlanetCecilia,"Sweden, Gothenburg^^",NA,2017-01-20T05:26:52,No name
105,#CbbChloe keeps throwing her pussy at #CbbCalum - and he's not trying to catch it. Girl needs to take a hint. #CBB,DGAFkevin,Chicago,NA,2017-01-20T05:26:53,No name
106,"#CBB #NCAAB 1/19 #WinnerDay 2-0 | +1.82 unitsSeason 46-38 | +5.66 units#CBBPicks #Sportsbetting",PerfectFootyBet,Canada,NA,2017-01-20T05:26:56,No name
107,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,jorgeguevararom,,NA,2017-01-20T05:27:12,No name
108,@chanfordxx YOU THIEVING CHICKEN LIVER BUGGER!! #CBB. #CBBKim. https://t.co/PeSlThiCEk,jmehough,"Rugby, England",NA,2017-01-20T05:27:26,No name
109,RT @behlul_official: When you're next level angry &amp; start throwin all sorts out there #Cbb https://t.co/iYrPGLdnCy,levikeating,,NA,2017-01-20T05:27:27,No name
110,RT @bigbrothereplay: TONIGHT on #CBB https://t.co/4pCJtajc1U,_ChloeGShore,Instagram : ChloeGShore1,NA,2017-01-20T05:27:30,No name
111,RT @behlul_official: If this isn't me I don't know what is #CBB https://t.co/gDqarYb8RH,Miguel_Andrade4,"California, USA",NA,2017-01-20T05:27:39,No name
112,"RT @The_JamesJordan: If Kim gets removed from the house I wonder if she will still want that cleaning job I offered her? @bbuk #CBB #CBBâ€_",leah_florentina,Newcastle,NA,2017-01-20T05:27:45,No name
113,"RT @CamiLiModel: Omg, now I know where I recognize Kim from! #HatchetFace #CryBaby #CBB https://t.co/qefzXBCSL6",Miguel_Andrade4,"California, USA",NA,2017-01-20T05:27:54,No name
114,@ant_johno this will make your day _Ÿ˜‚_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚ https://t.co/qOodoJWzI5,vicky_taylor86,Accrington,NA,2017-01-20T05:28:37,No name
116,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,DystForce,,NA,2017-01-20T05:28:56,No name
